bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
RMSE003261,ECO.01.0271,ECO.01.0271,"Pantometrum Kircherianum, hoc est, instrumentum geometricum novum, a celeberrimo viro P. Athanasio Kirchero ante hac  inventum, nunc decem libris, uni",,[Francoforte sul Meno],1660,1660,lat,yes
CAG0047579,ECO.01.0435/04,ECO.01.0435/04,"Repertorium bibliographicum, in quo libri omnes ab arte typographica inventa usque ad annum 1500",opera Ludovici Hain,Berlin,,    ,lat,
RMSE006705,ECO.01.0676/02,ECO.01.0676/02,"2: Operum Aristotelis tomus 2. librorum Aristotelis qui non extant fragmenta quaedam. Item, indices duo, quorum prior nomina eorum continet qui in Ari",,Aureliae Allobrogum,1605,1605,grc,
BVEE055944,ECO.01.0822,ECO.01.0822,"2: Delle relationi vniuersali di Giouanni Botero benese, parte seconda. Nella quale si tratta de'maggiori prencipi, che siano al mondo, & delle cagion",,In Venetia,1618,1618,ita,yes
BVEE055946,ECO.01.0822,ECO.01.0822,1,,,,1618,ita,yes
BVEE055951,ECO.01.0822,ECO.01.0822,"4: Delle relationi vniuersali di Giouanni Botero benese, parte quarta. Nella quale si tratta delle superstizioni in che viueuano già le genti del mond",,In Venetia,1618,1618,ita,yes
BVEE062268,ECO.01.0107,ECO.01.0107,Fasciculus temporum omnes antiquorum cronicas succincte complectens,,[Parigi],,1512,lat,yes
UBO3947877,ECO.02.0048,ECO.02.0048,Synarchie,Geoffroy de Charnay [i.e. Raoul Husson],Paris,1946,1946,fre,yes
BVEE045189,ECO.01.0781,ECO.01.0781,"Gustavi Seleni Cryptomenytices et Cryptographiae libri 9. In quibus & planissima Stenographiae à Johanne Trithemio, ... magicè & aenigmaticè olim cons",,,1624,1624,lat,yes
BVEE055948,ECO.01.0822,ECO.01.0822,"3: Delle relationi vniuersali di Giouanni Botero benese. Terza parte. Nella quale si tratta de' popoli d'ogni credenza, cattolici, giudei, gentili, & ",,In Venetia,1618,1618,ita,yes
BVEE070255,ECO.01.0438,ECO.01.0438,"F. Thomae Campanellae De sensu rerum et magia, libri quatuor, pars mirabilis occultae philosophiae, vbi demonstratur, mundum esse Dei viuam statuam ..",,Francofurti,1620,1620,lat,yes
BVEE070680,ECO.01.0639,ECO.01.0639,"Francisci Baconis de Verulamnio, ... De dignitate et augmentis scientiarum. Ad regem suum. Libri 9",,Argentorati,1654,1654,lat,yes
BVEE055962,ECO.01.0822,ECO.01.0822,"7: Aggiunta alla quarta parte dell'Indie, del sig. Giouanni Botero benese. Di mostri, & vsanze di quelle parti, e di quei rè con le sue figure al natu",,In Venetia,1618,1618,ita,yes
